MTFCC,OID,GEOID,STATE,COUNTY,TRACT,BASENAME,NAME,LSADC,FUNCSTAT,POP100,HU100,AREALAND,AREAWATER,UR,CENTLAT,CENTLON,INTPTLAT,INTPTLON
G5020,20790267578036,12001000200,12,1,200,2,Census Tract 2,CT,S,7431,3123,2086074,0,U,29.6511174,-82.3333908,29.6511174,-82.3333908
G5020,207903717545514,12001000301,12,1,301,3.01,Census Tract 3.01,CT,S,3308,1933,2471078,22668,U,29.6666904,-82.3311870,29.6680039,-82.3314186
G5020,207903717545515,12001000302,12,1,302,3.02,Census Tract 3.02,CT,S,2770,1592,3775044,39594,U,29.6835766,-82.3304597,29.6842367,-82.3300625
G5020,20790267578074,12001000400,12,1,400,4,Census Tract 4,CT,S,5665,2327,6031446,9011,U,29.6777838,-82.3078520,29.6794765,-82.3081207
G5020,20790267578097,12001000500,12,1,500,5,Census Tract 5,CT,S,4976,2694,3922436,1068,U,29.6567348,-82.3172034,29.6568455,-82.3169268
G5020,20790267577765,12001000600,12,1,600,6,Census Tract 6,CT,S,4350,1757,7677915,103250,U,29.6531091,-82.2879680,29.6557626,-82.2885038
G5020,20790267577785,12001000700,12,1,700,7,Census Tract 7,CT,S,6075,2623,22424278,457320,M,29.6249760,-82.2910038,29.6316585,-82.2902460
G5020,207903717545524,12001000806,12,1,806,8.06,Census Tract 8.06,CT,S,2180,1276,942682,1453,U,29.6399207,-82.3321810,29.6390409,-82.3322452
G5020,207903717545525,12001000808,12,1,808,8.08,Census Tract 8.08,CT,S,3630,1934,2599612,188598,U,29.6270035,-82.3329496,29.6274199,-82.3335258
G5020,207903717545516,12001000809,12,1,809,8.09,Census Tract 8.09,CT,S,1364,886,1849767,629307,U,29.6304575,-82.3464277,29.6304545,-82.3492837
G5020,20790267578634,12001000901,12,1,901,9.01,Census Tract 9.01,CT,S,2877,508,2191673,310692,U,29.6435205,-82.3625677,29.6431195,-82.3538453
G5020,20790267578587,12001000902,12,1,902,9.02,Census Tract 9.02,CT,S,5926,40,2057618,16580,U,29.6453087,-82.3467951,29.6454043,-82.3449789
G5020,20790267578118,12001001000,12,1,1000,10,Census Tract 10,CT,S,6207,3001,5693766,18746,U,29.6586358,-82.3564052,29.6586218,-82.3551779
G5020,20790267578141,12001001100,12,1,1100,11,Census Tract 11,CT,S,6438,3163,7790292,0,U,29.6759837,-82.3672638,29.6759837,-82.3672638
G5020,20790267578529,12001001201,12,1,1201,12.01,Census Tract 12.01,CT,S,2906,1283,2812327,5977,U,29.6963979,-82.3798346,29.6950825,-82.3745700
G5020,20790267578205,12001001202,12,1,1202,12.02,Census Tract 12.02,CT,S,6914,3187,5862541,12288,U,29.6942785,-82.3592550,29.6941291,-82.3589343
G5020,20790267578164,12001001203,12,1,1203,12.03,Census Tract 12.03,CT,S,3657,1850,3165480,527,U,29.6880394,-82.3445025,29.6877991,-82.3449395
G5020,20790267577828,12001001400,12,1,1400,14,Census Tract 14,CT,S,4585,1033,20861416,848991,M,29.6581288,-82.2578381,29.6569282,-82.2632186
G5020,207903717545517,12001001514,12,1,1514,15.14,Census Tract 15.14,CT,S,1281,981,1623036,10031,U,29.6334180,-82.3635228,29.6347245,-82.3643489
G5020,207903717545526,12001001515,12,1,1515,15.15,Census Tract 15.15,CT,S,6343,3335,1533897,6403,U,29.6248551,-82.3641249,29.6231569,-82.3625693
G5020,207903717545527,12001001516,12,1,1516,15.16,Census Tract 15.16,CT,S,2149,1338,526798,0,U,29.6165384,-82.3588847,29.6165384,-82.3588847
G5020,207903717545529,12001001517,12,1,1517,15.17,Census Tract 15.17,CT,S,4734,2505,1503061,770,U,29.6136889,-82.3673638,29.6134864,-82.3662197
G5020,207903717545530,12001001519,12,1,1519,15.19,Census Tract 15.19,CT,S,2559,992,1971700,7459,U,29.6142032,-82.3767483,29.6123072,-82.3770681
G5020,207903717545518,12001001520,12,1,1520,15.2,Census Tract 15.20,CT,S,2482,1245,1492619,1715,U,29.6383879,-82.3809142,29.6374658,-82.3835917
G5020,207903717545531,12001001521,12,1,1521,15.21,Census Tract 15.21,CT,S,4120,2563,3042491,10962,U,29.6281917,-82.3840248,29.6265055,-82.3828665
G5020,207903717545528,12001001603,12,1,1603,16.03,Census Tract 16.03,CT,S,1269,661,1449228,9703,U,29.6564962,-82.3824210,29.6563085,-82.3821731
G5020,207903717545532,12001001604,12,1,1604,16.04,Census Tract 16.04,CT,S,7644,3929,6580707,145343,U,29.6486625,-82.3950453,29.6494104,-82.3932480
G5020,20790267578250,12001001701,12,1,1701,17.01,Census Tract 17.01,CT,S,5895,3042,7873757,53672,U,29.6818175,-82.4144688,29.6827446,-82.4191063
G5020,20790267578185,12001001702,12,1,1702,17.02,Census Tract 17.02,CT,S,4736,2163,7532690,100932,U,29.6667834,-82.4009739,29.6704391,-82.3973484
G5020,20790267578318,12001001801,12,1,1801,18.01,Census Tract 18.01,CT,S,7489,3233,246736927,2660493,M,29.8691720,-82.4967830,29.8722025,-82.4950865
G5020,20790267578478,12001001802,12,1,1802,18.02,Census Tract 18.02,CT,S,2937,1342,78310011,1050959,M,29.7898614,-82.4091421,29.7936621,-82.4093261
G5020,20790267578355,12001001803,12,1,1803,18.03,Census Tract 18.03,CT,S,6358,2936,8289093,32380,M,29.7170875,-82.3752400,29.7171101,-82.3767012
G5020,20790267578496,12001001805,12,1,1805,18.05,Census Tract 18.05,CT,S,1482,600,31854675,879340,M,29.7484734,-82.4720328,29.7545260,-82.4677495
G5020,20790267578337,12001001806,12,1,1806,18.06,Census Tract 18.06,CT,S,8675,3843,158765170,262101,M,29.7737082,-82.5824937,29.7748630,-82.5846379
G5020,207903717545533,12001001811,12,1,1811,18.11,Census Tract 18.11,CT,S,6170,3201,14084097,258189,M,29.6996306,-82.4264199,29.6939211,-82.4186642
G5020,207903717545534,12001001813,12,1,1813,18.13,Census Tract 18.13,CT,S,2662,1176,19079997,782911,M,29.7256048,-82.4180370,29.7255783,-82.4199367
G5020,207903717545535,12001001814,12,1,1814,18.14,Census Tract 18.14,CT,S,2625,1230,18465602,423749,M,29.7543893,-82.4254052,29.7561618,-82.4296440
G5020,20790267577928,12001001902,12,1,1902,19.02,Census Tract 19.02,CT,S,3316,1271,19788767,128090,M,29.6914395,-82.2859054,29.6925068,-82.2857577
