county,tract,c0_mean,c0_high,c1_mean,c1_high,c2_mean,c2_high,c3_mean,c3_high,c4_mean,c4_high,c5_mean,c5_high
"1","200",,,,,,,,,,,,
"1","300",,,,,,,,,,,,
"1","400",,,,,,,,,,,,
"1","500",,,,,,,,,,,,
"1","600",,,,,,,,,,,,
"1","700",,,,,,,,,,,,
"1","800",,,,,,,,,,,,
"1","901",,,,,,,,,,,,
"1","902",,,,,,,,,,,,
"1","1000",,,,,,,,,,,,
"1","1100",,,,,,,,,,,,
"1","1201",,,,,,,,,,,,
"1","1202",,,,,,,,,,,,
"1","1203",,,,,,,,,,,,
"1","1400",,,,,,,,,,,,
"1","1501",,,,,,,,,,,,
"1","1502",,,,,,,,,,,,
"1","1503",,,,,,,,,,,,
"1","1504",,,,,,,,,,,,
"1","1505",,,,,,,,,,,,
"1","1600",,,,,,,,,,,,
"1","1701",,,,,,,,,,,,
"1","1702",,,,,,,,,,,,
"1","1801",,,,,,,,,,,,
"1","1802",,,,,,,,,,,,
"1","1803",,,,,,,,,,,,
"1","1804",,,,,,,,,,,,
"1","1805",,,,,,,,,,,,
"1","1806",,,,,,,,,,,,
"1","1901",,,,,,,,,,,,
"1","1902",,,,,,,,,,,,
"1","2000",,,,,,,,,,,,
"1","2100",,,,,,,,,,,,
"1","2201",,,,,,,,,,,,
"1","2202",,,,,,,,,,,,
"1","2203",,,,,,,,,,,,
"1","2204",,,,,,,,,,,,
"1","2205",,,,,,,,,,,,
"1","2206",,,,,,,,,,,,
"1","2207",,,,,,,,,,,,
"1","2208",,,,,,,,,,,,
"1","2209",,,,,,,,,,,,
"1","2210",,,,,,,,,,,,
"3","40101",,,,,,,,,,,,
"3","40102",,,,,,,,,,,,
"3","40201",,,,,,,,,,,,
"3","40202",,,,,,,,,,,,
"5","200",,,,,,,,,,,,
"5","300",,,,,,,,,,,,
"5","400",,,,,,,,,,,,
"5","500",,,,,,,,,,,,
"5","600",,,,,,,,,,,,
"5","700",,,,,,,,,,,,
"5","801",,,,,,,,,,,,
"5","802",,,,,,,,,,,,
"5","900",,,,,,,,,,,,
"5","1000",,,,,,,,,,,,
"5","1100",,,,,,,,,,,,
"5","1200",,,,,,,,,,,,
"5","1300",,,,,,,,,,,,
"5","1401",,,,,,,,,,,,
"5","1402",,,,,,,,,,,,
"5","1501",,,,,,,,,,,,
"5","1502",,,,,,,,,,,,
"5","1600",,,,,,,,,,,,
"5","1700",,,,,,,,,,,,
"5","1800",,,,,,,,,,,,
"5","1900",,,,,,,,,,,,
"5","2000",,,,,,,,,,,,
"5","2200",,,,,,,,,,,,
"5","2300",,,,,,,,,,,,
"5","2400",,,,,,,,,,,,
"5","2500",,,,,,,,,,,,
"5","2601",,,,,,,,,,,,
"5","2602",,,,,,,,,,,,
"5","2700",,,,,,,,,,,,
"7","100",,,,,,,,,,,,
"7","200",,,,,,,,,,,,
"7","300",,,,,,,,,,,,
"7","400",,,,,,,,,,,,
"9","60100",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,1.4,4.4,7.9,9.3
"9","60200",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","60300",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","60400",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,1.8
"9","60500",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","60600",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","60700",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,2.1,4.8,8.6,10.2
"9","60800",99.9,99.9,99.9,99.9,99.9,99.9,99.9,1,7.3,9.9,13.6,15.1
"9","60900",0.9,1.9,1.6,2.5,2.2,3.1,2.8,3.9,9.6,12.4,16.2,17.7
"9","61000",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","61100",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","61200",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","62102",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","62103",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","62104",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","62105",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","62200",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","62300",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","62400",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","62500",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","62600",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","62700",1.7,2.6,2.8,4,4.4,5.6,5.9,6.7,8.8,11.3,15.2,17.2
"9","62800",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","62900",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","63000",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","63101",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","63102",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","63103",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","64101",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","64102",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","64121",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","64122",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","64200",99.9,99.9,99.9,99.9,99.9,99.9,99.9,0.2,3.5,5.4,10.6,13.3
"9","64301",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","64302",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,2.7,3.9,7.7,10.1
"9","64400",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","64500",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","64600",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","64700",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","64800",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,1.3,3.4,8.1,10.7
"9","64901",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","64902",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,1,3.2
"9","65001",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","65021",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","65022",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","65101",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","65121",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","65122",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0.7,0.9
"9","65123",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0.1,2.1
"9","65201",99.9,99.9,99.9,99.9,99.9,99.9,0.9,1.7,4.1,5.8,11.4,13.2
"9","65202",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","65231",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","65233",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","65234",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","66101",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0.2,2.2,7.9,9
"9","66102",99.9,99.9,99.9,99.9,0,0.2,0.5,2.6,4.6,6.4,12.1,13.4
"9","66200",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,2.5,8.4,8.9
"9","66301",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,0.1,7.9,8.4
"9","66302",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,4.5,10.3,10.9
"9","66400",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,4,10,10.4
"9","66500",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,2.6,4.4,9,11.4
"9","66600",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,2,7.7,8.3
"9","66700",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,0,7.8,8.1
"9","66800",3.4,4.4,5,5.9,7.4,8.3,9.7,10.6,13.4,14.1,15.5,16.1
"9","66900",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,7.8,8,9.1,10.1
"9","67100",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,8.8,9,9.8,10.5
"9","68100",99.9,99.9,99.9,99.9,99.9,99.9,99.9,0.3,4.9,6.4,9.5,11
"9","68200",1.1,1.9,1.3,2.2,1.9,3.1,3.2,4.4,7.3,8.8,12.8,14.5
"9","68300",99.9,99.9,99.9,99.9,99.9,99.9,0.1,0.4,6.3,8.2,9.7,10.5
"9","68400",99.9,99.9,99.9,99.9,99.9,99.9,0.1,4.1,7.7,8.6,10.2,10.1
"9","68500",99.9,99.9,99.9,99.9,99.9,99.9,0,5,8.3,9.1,10.1,10.4
"9","68600",3.1,4.1,5.7,6.4,7.3,8.1,9.4,10.9,12.7,12.8,13.8,15.7
"9","69100",99.9,0.1,99.9,0.3,1.4,2.6,3.2,3.7,6,7.7,10.9,12.8
"9","69200",99.9,99.9,99.9,99.9,0,1.2,1.9,2.5,5.2,6.8,10.4,12.2
"9","69300",99.9,99.9,99.9,0.3,0.6,1.8,2.1,3.4,6.5,8.1,11.9,13.6
"9","69400",99.9,0.5,0.3,1.3,1.5,2.5,3.5,4.2,7.2,8.9,13.3,15.2
"9","69500",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,1.5,3.8,7.6,9.8
"9","69600",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,1.5,3.8,7.5,9.6
"9","69700",99.9,99.9,99.9,99.9,99.9,0.6,0.8,1.7,3.5,6,9.3,11.4
"9","69801",99.9,0,99.9,0.2,0,0.8,0.9,3.6,7.3,8.5,11.2,13.3
"9","69802",99.9,99.9,99.9,99.9,99.9,0,0,2.3,6.2,7.6,11.4,13.3
"9","69901",99.9,1.1,1.1,2,2,2.8,2.8,3.5,5.7,8.1,11.5,13.1
"9","69902",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,1.7,3.9,7.3,9
"9","71100",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","71200",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","71301",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","71321",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","71322",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","71323",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","71332",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","71333",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"9","71334",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","10101",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0.2,1.1,1.3,1.9
"11","10102",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,0.8,1.2,1.9
"11","10200",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0
"11","10301",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","10303",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","10304",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","10401",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","10402",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","10403",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","10404",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","10405",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","10501",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","10502",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","10601",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","10602",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","10603",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","10604",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","10605",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","10606",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","10607",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","10608",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","10701",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","10702",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","10800",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","10900",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,0,0.8
"11","11000",99.9,99.9,99.9,99.9,99.9,99.9,99.9,0.7,0.9,1.7,1.8,2.5
"11","20101",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20102",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20202",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20204",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20205",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20206",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20207",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20208",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20302",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20305",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20308",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20309",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20310",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20311",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20312",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20313",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20314",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20315",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20316",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20317",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20318",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20319",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20320",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20321",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20322",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20404",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20405",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20406",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20407",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20408",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20409",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20410",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20411",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20501",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","20502",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","30100",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,1,1.3,2.2
"11","30200",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","30301",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","30302",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","30401",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","30402",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","30500",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","30600",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","30702",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","30703",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","30704",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","30705",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","30801",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0
"11","30802",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,1.5
"11","30901",99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,0,0.8,0.8,1.8
"11","30902",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,1
"11","31000",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","31100",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0.8,1.1,2
"11","31201",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","31202",99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,1,1,1,1.8
"11","40100",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","40201",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,0.2,1.1
"11","40202",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","40300",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","40400",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,0,1
"11","40501",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","40502",99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,0.1,0.7,0.8,1.4
"11","40600",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","40700",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","40801",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","40802",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0.1,0.2,0.7
